time,GRDC_1160815,US_09447000
2002-04-11,0.483,0.558
2002-04-12,0.579,0.677
2002-04-13,0.408,0.711
2002-04-14,0.319,0.725
2002-04-15,0.357,0.722
2002-04-16,0.399,0.728
2002-04-17,0.599,0.745
2002-04-18,0.763,0.733
2002-04-19,0.561,0.716
2002-04-20,0.401,0.714
2002-04-21,0.322,0.719
2002-04-22,0.294,0.714
2002-04-23,0.291,0.688
2002-04-24,0.243,0.665
2002-04-25,0.207,0.677
2002-04-26,0.187,0.685
2002-04-27,0.178,0.674
2002-04-28,0.174,0.637
2002-04-29,0.174,0.623
2002-04-30,0.145,0.637
2002-05-01,0.178,0.640
2002-05-02,0.157,0.685
2002-05-03,0.136,0.691
2002-05-04,0.130,0.694
2002-05-05,0.127,0.674
2002-05-06,0.112,0.657
2002-05-07,0.093,0.648
2002-05-08,0.107,0.651
2002-05-09,0.085,0.680
2002-05-10,0.072,0.680
2002-05-11,0.067,0.680
2002-05-12,0.074,0.708
2002-05-13,0.096,0.708
2002-05-14,0.106,0.680
2002-05-15,0.089,0.651
2002-05-16,0.062,0.651
2002-05-17,0.077,0.651
2002-05-18,0.075,0.651
2002-05-19,0.063,0.651
2002-05-20,0.078,0.651
2002-05-21,0.086,0.651
2002-05-22,0.070,0.660
2002-05-23,0.086,0.643
2002-05-24,0.083,0.668
2002-05-25,0.075,0.705
2002-05-26,0.064,0.699
2002-05-27,0.066,0.697
2002-05-28,0.082,0.677
2002-05-29,0.086,0.668
2002-05-30,0.064,0.663
2002-05-31,0.149,0.640
2002-06-01,0.759,0.620
2002-06-02,0.609,0.626
2002-06-03,0.459,0.623
2002-06-04,0.402,0.626
2002-06-05,0.307,0.623
2002-06-06,0.247,0.648
2002-06-07,0.202,0.646
2002-06-08,0.185,0.637
2002-06-09,0.161,0.626
2002-06-10,0.161,0.609
2002-06-11,0.147,0.620
2002-06-12,0.148,0.680
2002-06-13,0.127,0.651
2002-06-14,0.134,0.578
2002-06-15,0.153,0.569
2002-06-16,0.180,0.552
2002-06-17,0.149,0.535
2002-06-18,0.149,0.538
2002-06-19,0.136,0.561
2002-06-20,0.101,0.555
2002-06-21,0.105,0.558
2002-06-22,0.104,0.578
2002-06-23,0.136,0.566
2002-06-24,0.160,0.558
2002-06-25,0.286,0.558
2002-06-26,0.453,0.589
2002-06-27,0.330,0.586
2002-06-28,0.230,0.572
2002-06-29,0.177,0.583
2002-06-30,0.140,0.586
2002-07-01,0.120,0.558
2002-07-02,0.116,0.561
2002-07-03,0.109,0.555
2002-07-04,0.093,0.580
2002-07-05,0.098,0.566
2002-07-06,0.096,0.575
2002-07-07,0.099,0.569
2002-07-08,0.108,0.617
2002-07-09,0.114,0.705
2002-07-10,0.113,0.688
2002-07-11,0.083,0.654
2002-07-12,0.085,0.714
2002-07-13,0.092,0.702
2002-07-14,0.089,0.637
2002-07-15,0.100,0.674
2002-07-16,0.104,0.767
2002-07-17,0.092,0.983
2002-07-18,0.102,1.000
2002-07-19,0.521,0.881
2002-07-20,2.490,0.883
2002-07-21,1.493,1.099
2002-07-22,0.874,1.699
2002-07-23,0.638,1.274
2002-07-24,0.520,0.850
2002-07-25,0.428,0.708
2002-07-26,0.368,0.481
2002-07-27,0.357,1.931
2002-07-28,0.324,3.030
2002-07-29,0.318,2.568
2002-07-30,0.298,1.138
2002-07-31,0.271,0.787
2002-08-01,0.279,0.538
2002-08-02,0.279,1.580
2002-08-03,0.262,1.113
2002-08-04,0.277,3.341
2002-08-05,0.394,1.889
2002-08-06,0.514,1.130
2002-08-07,0.369,0.957
2002-08-08,0.383,0.810
2002-08-09,0.363,0.663
2002-08-10,0.340,0.711
2002-08-11,0.327,1.181
2002-08-12,0.327,1.073
2002-08-13,0.322,0.796
2002-08-14,0.294,0.544
2002-08-15,0.647,0.459
2002-08-16,1.771,0.433
2002-08-17,1.187,0.436
2002-08-18,0.938,0.459
2002-08-19,0.882,0.498
2002-08-20,0.880,0.555
2002-08-21,0.624,0.753
2002-08-22,0.537,0.657
2002-08-23,0.475,0.586
2002-08-24,0.441,0.544
2002-08-25,0.410,0.515
2002-08-26,0.396,0.490
2002-08-27,0.399,0.479
2002-08-28,0.445,0.496
